Date,Quantity
2020-Nov,110
2020-Nov,284
2020-Nov,210
2020-Nov,2952
2020-Nov,1743
2020-Nov,1786
2020-Nov,105
2020-Nov,540
2020-Nov,833
2020-Nov,1003
2020-Nov,96
2020-Nov,144
2020-Nov,2720
2020-Nov,1334
2020-Nov,828
2020-Nov,17692
2020-Nov,1116
2020-Nov,87
2020-Nov,4932
2020-Nov,132
2020-Oct,68
2020-Oct,51
2020-Oct,43
2020-Oct,475
2020-Oct,1570
2020-Oct,1492
2020-Oct,250
2020-Oct,716
2020-Oct,530
2020-Oct,1101
2020-Oct,1521
2020-Oct,1955
2020-Oct,247
2020-Oct,78
2020-Oct,243
2020-Oct,1187
2020-Oct,86
2020-Oct,48
2020-Oct,35
2020-Oct,181
2020-Oct,2943
2020-Oct,33
2020-Sep,50
2020-Sep,126
2020-Sep,2126
2020-Sep,1061
2020-Sep,51
2020-Sep,1995
2020-Sep,2427
2020-Sep,4294
2020-Sep,3904
2020-Sep,2345
2020-Sep,1260
2020-Sep,636
2020-Sep,4706
2020-Sep,84
2020-Sep,382
2020-Sep,1391
2020-Sep,362
2020-Sep,598
2020-Sep,59
2020-Sep,52
2020-Sep,2856
2020-Aug,2749
2020-Aug,52
2020-Aug,62
2020-Aug,66
2020-Aug,9908
2020-Aug,9933
2020-Aug,2537
2020-Aug,91
2020-Aug,72
2020-Aug,216
2020-Aug,325
2020-Aug,93
2020-Aug,106
2020-Aug,89
2020-Aug,770
2020-Aug,1571
2020-Aug,3158
2020-Aug,2120
2020-Aug,2561
2020-Aug,510
2020-Aug,19
2020-Aug,-1
2020-Jul,54
2020-Jul,31
2020-Jul,7
2020-Jul,8
2020-Jul,20
2020-Jul,6
2020-Jul,14
2020-Jul,222
2020-Jul,323
2020-Jul,24
2020-Jul,180
2020-Jul,85
2020-Jul,2773
2020-Jul,1033
2020-Jul,896
2020-Jul,111
2020-Jul,292
2020-Jul,387
2020-Jul,922
2020-Jul,689
2020-Jul,3069
2020-Jul,4825
2020-Jun,6930
2020-Jul,1
2020-Jun,1705
2020-Jun,4783
2020-Jun,3022
2020-Jun,2157
2020-Jun,2533
2020-Jun,4392
2020-Jun,3654
2020-Jun,629
2020-Jun,4141
2020-Jun,5461
2020-Jun,4558
2020-Jun,2037
2020-Jun,110
2020-Jun,7
2020-Jun,57
2020-Jun,20
2020-Jun,47
2020-Jun,13
2020-Jun,24
2020-Jun,15
2020-Jun,118
2020-May,48
2020-May,46
2020-May,1245
2020-May,4045
2020-May,15858
2020-May,10956
2020-May,5918
2020-May,95
2020-May,283
2020-May,12
2020-May,5
2020-May,457
2020-May,193
2020-May,3
2020-May,2
2020-May,5
2020-May,2
2020-May,65
2020-Apr,3
2020-Apr,10
2020-Apr,3
2020-Apr,696
2020-Apr,133
2020-Apr,3277
2020-Apr,984
2020-Apr,1728
2020-Apr,144
2020-Apr,1056
2020-Apr,12
2020-Apr,12
2020-Apr,1249
2020-Apr,4368
2020-Apr,24
2020-Apr,24
2020-Mar,12
2020-Mar,2004
2020-Mar,1980
2020-Mar,12
2020-Mar,348
2020-Mar,4860
2020-Mar,374
2020-Mar,1596
2020-Mar,1656
2020-Mar,3240
2020-Mar,25
2020-Mar,207
2020-Mar,10
2020-Mar,1333
2020-Feb,4224
2020-Feb,168
2020-Feb,132
2020-Feb,120
2020-Feb,601
2020-Feb,2616
2020-Feb,3016
2020-Feb,73
2020-Feb,805
2020-Feb,600
2020-Feb,12
2020-Feb,1080
2020-Feb,9626
2020-Feb,6984
2020-Jan,396
2020-Jan,480
2020-Jan,734
2020-Jan,0
2020-Jan,84
2020-Jan,1
2020-Jan,1
2020-Jan,1
2020-Jan,6960
2020-Jan,1668
2020-Jan,4656
