Date,Quantity
11/20/2022,10126
11/20/2022,3863
11/13/2022,151
11/20/2022,6
11/13/2022,33
11/13/2022,61
11/13/2022,1530
11/13/2022,1378
11/6/2022,6072
11/6/2022,114
11/6/2022,1079
11/6/2022,156
11/6/2022,361
10/30/2022,622
11/6/2022,2
10/30/2022,121
10/30/2022,422
10/30/2022,2705
10/23/2022,465
10/23/2022,26
10/23/2022,5661
10/23/2022,16263
10/23/2022,929
10/23/2022,300
10/16/2022,37
10/16/2022,8086
10/16/2022,72
10/16/2022,9910
10/9/2022,2
10/16/2022,618
10/16/2022,2
10/9/2022,126
10/9/2022,4094
10/9/2022,135
10/9/2022,206
10/23/2022,1
10/9/2022,1203
10/9/2022,2
10/2/2022,1201
10/9/2022,2
10/2/2022,5342
10/2/2022,524
10/2/2022,4727
10/2/2022,1920
10/2/2022,1
9/25/2022,36
9/25/2022,401
9/25/2022,56
9/25/2022,744
9/25/2022,328
9/25/2022,500
9/25/2022,38
9/18/2022,8086
9/18/2022,103
9/18/2022,306
9/25/2022,1
9/18/2022,1197
9/18/2022,617
9/18/2022,4
9/11/2022,58
9/11/2022,35
9/11/2022,1025
9/11/2022,7457
9/11/2022,1831
9/11/2022,2
9/4/2022,63
9/11/2022,4
9/4/2022,815
9/4/2022,871
9/4/2022,2516
9/4/2022,240
8/28/2022,6086
8/28/2022,4857
8/28/2022,10200
8/28/2022,921
8/21/2022,0
8/28/2022,1312
8/21/2022,4060
8/21/2022,3033
8/21/2022,893
8/21/2022,175
8/21/2022,533
8/21/2022,194
8/14/2022,24
8/14/2022,4067
8/14/2022,12178
8/14/2022,1005
8/14/2022,143
8/14/2022,8
8/7/2022,2405
8/7/2022,709
8/7/2022,219
8/7/2022,20449
8/7/2022,1357
8/7/2022,20
7/31/2022,593
7/31/2022,349
7/31/2022,528
7/31/2022,16639
7/31/2022,837
7/24/2022,1566
7/24/2022,313
7/24/2022,656
7/24/2022,156
7/31/2022,1
7/17/2022,2
7/24/2022,734
7/24/2022,4
7/17/2022,489
7/10/2022,2
7/17/2022,14361
7/17/2022,800
7/17/2022,176
7/17/2022,1485
7/17/2022,8
7/10/2022,1
7/10/2022,185
7/10/2022,522
7/10/2022,18135
7/10/2022,843
7/10/2022,20496
7/10/2022,21
7/3/2022,5
7/3/2022,9236
7/3/2022,11949
7/3/2022,241
7/3/2022,4679
7/3/2022,12
6/26/2022,522
7/3/2022,1
6/26/2022,633
6/26/2022,124131
6/26/2022,560
6/12/2022,2
6/26/2022,2225
6/26/2022,3
6/19/2022,11052
6/26/2022,24
6/19/2022,1530
6/19/2022,105
6/19/2022,1196
6/19/2022,1257
6/19/2022,4036
6/12/2022,6646
6/19/2022,24
6/12/2022,511
6/12/2022,308
6/12/2022,1352
6/5/2022,5
6/12/2022,9793
6/12/2022,66
6/5/2022,498
6/5/2022,23208
6/5/2022,4337
6/5/2022,27712
6/5/2022,1931
6/5/2022,21
5/29/2022,265
6/5/2022,2
5/29/2022,1168
5/29/2022,3968
5/29/2022,13370
5/29/2022,1
5/22/2022,12294
5/29/2022,1
5/22/2022,246
5/29/2022,1
5/22/2022,877
5/22/2022,18584
5/22/2022,2181
5/22/2022,4
5/15/2022,8289
5/22/2022,2
5/15/2022,208
5/22/2022,2
5/15/2022,165
5/15/2022,938
5/22/2022,1
5/15/2022,22560
5/8/2022,2381
5/15/2022,2
5/8/2022,6417
5/8/2022,7711
5/1/2022,1
5/8/2022,208
5/1/2022,4
5/8/2022,1071
5/8/2022,7
5/1/2022,7454
5/15/2022,36
5/1/2022,1042
5/1/2022,1990
5/1/2022,10469
5/1/2022,236
5/1/2022,2
4/24/2022,89
4/24/2022,25286
4/24/2022,2125
4/24/2022,2746
4/24/2022,13760
4/24/2022,2
4/17/2022,5
4/17/2022,156
4/17/2022,135
4/10/2022,1
4/17/2022,190
4/10/2022,12
4/17/2022,125
4/10/2022,6
4/17/2022,273
4/17/2022,3
4/10/2022,6587
4/17/2022,3
4/10/2022,102
4/10/2022,2389
4/10/2022,989
4/10/2022,194
4/3/2022,3174
4/10/2022,1
4/3/2022,1759
4/3/2022,880
4/3/2022,12764
4/24/2022,1
4/3/2022,1548
3/27/2022,762
3/27/2022,3880
3/27/2022,86
3/20/2022,1
3/27/2022,454
3/20/2022,2
3/27/2022,2592
3/27/2022,6
3/20/2022,45
3/20/2022,6224
3/20/2022,190
3/20/2022,62
3/20/2022,103
3/13/2022,2
3/20/2022,194
3/13/2022,35
3/13/2022,102
3/13/2022,54
3/13/2022,164
3/13/2022,262
3/6/2022,44
3/6/2022,14253
3/6/2022,273
3/6/2022,459
2/27/2022,1
3/6/2022,5407
2/27/2022,162
2/27/2022,156
2/27/2022,107
2/27/2022,27783
2/27/2022,56
2/20/2022,16128
2/20/2022,8176
2/20/2022,25
2/20/2022,248
2/20/2022,768
2/20/2022,1349
2/13/2022,40
2/13/2022,30
2/13/2022,150
2/13/2022,37801
2/13/2022,268
2/6/2022,13785
2/6/2022,144
2/6/2022,2748
2/6/2022,1066
1/30/2022,4
2/6/2022,500
1/30/2022,323
1/30/2022,151
2/6/2022,1
1/30/2022,740
1/30/2022,3968
1/30/2022,1642
1/23/2022,8854
1/23/2022,195
1/23/2022,1463
1/23/2022,174
1/23/2022,13854
1/16/2022,8390
1/16/2022,107
1/16/2022,21760
1/16/2022,1118
1/16/2022,7317
1/9/2022,179
1/9/2022,461
1/9/2022,5807
1/9/2022,316
1/9/2022,526
1/2/2022,438
1/9/2022,2
1/2/2022,833
1/2/2022,6214
1/2/2022,2420
1/2/2022,2002
1/9/2022,4
12/26/2021,1274
1/2/2022,4
12/26/2021,10318
12/19/2021,111
12/19/2021,1420
12/19/2021,1363
12/19/2021,5045
12/12/2021,1916
12/12/2021,76221
12/12/2021,422
12/12/2021,171
12/12/2021,955
12/5/2021,179
12/5/2021,348
12/5/2021,207
12/5/2021,227
12/5/2021,562
11/28/2021,98
11/28/2021,405
11/28/2021,387
11/28/2021,221
11/28/2021,144
11/28/2021,13
11/21/2021,79
11/28/2021,1
11/21/2021,279
11/14/2021,76
11/14/2021,5038
11/14/2021,-17
11/14/2021,74
11/14/2021,242
11/7/2021,42
11/7/2021,128
11/7/2021,31
11/7/2021,4603
10/31/2021,2
11/7/2021,183
10/31/2021,1952
10/31/2021,4902
10/31/2021,2100
10/31/2021,109
10/31/2021,484
10/24/2021,28
10/24/2021,2942
10/24/2021,5121
10/24/2021,1175
10/24/2021,342
10/17/2021,1275
10/17/2021,4120
10/17/2021,6502
10/17/2021,236
10/17/2021,488
10/10/2021,756
10/10/2021,3088
10/10/2021,932
10/10/2021,50
10/10/2021,717
10/3/2021,33
10/3/2021,942
10/3/2021,1800
10/3/2021,524
10/3/2021,386
9/26/2021,3360
10/3/2021,1
9/26/2021,1256
9/26/2021,3069
9/26/2021,109
9/26/2021,233
9/19/2021,2099
9/19/2021,6722
9/19/2021,798
9/26/2021,1
9/19/2021,376
9/19/2021,197
9/12/2021,2987
9/12/2021,1515
9/12/2021,57
9/12/2021,1759
9/12/2021,1908
9/5/2021,2267
9/5/2021,8888
9/12/2021,384
9/5/2021,4425
9/5/2021,1945
8/29/2021,2187
9/5/2021,2
8/29/2021,3175
8/29/2021,5348
8/29/2021,549
8/29/2021,2842
8/22/2021,2453
8/22/2021,1451
8/22/2021,1647
8/22/2021,4436
8/22/2021,3246
8/15/2021,5464
8/15/2021,2018
8/15/2021,130
8/15/2021,2736
8/8/2021,2
8/15/2021,2091
8/8/2021,1602
8/8/2021,260
8/8/2021,1369
8/8/2021,2503
8/8/2021,254
8/1/2021,4024
8/1/2021,3082
8/1/2021,1641
8/1/2021,4128
8/1/2021,7305
7/25/2021,1331
7/25/2021,5390
7/25/2021,1387
7/25/2021,396
7/25/2021,1934
7/18/2021,1177
7/18/2021,5024
7/25/2021,1
7/18/2021,2150
7/18/2021,1174
7/18/2021,3147
7/11/2021,2858
7/11/2021,3949
7/11/2021,1883
7/11/2021,2799
7/11/2021,4475
7/4/2021,4499
7/4/2021,8763
7/4/2021,2951
7/4/2021,115
7/11/2021,2
7/4/2021,2
6/27/2021,7016
6/27/2021,6952
6/27/2021,233
6/27/2021,1745
6/20/2021,6
6/27/2021,1234
6/20/2021,3743
6/20/2021,5065
6/20/2021,1730
6/20/2021,4113
6/20/2021,562
6/13/2021,3902
6/13/2021,603
6/13/2021,2730
6/13/2021,405
6/13/2021,5942
6/6/2021,16147
6/13/2021,1
6/6/2021,12678
6/6/2021,143
6/6/2021,193
6/6/2021,297
5/30/2021,141
6/6/2021,1
5/30/2021,861
5/30/2021,2826
5/30/2021,560
6/6/2021,1
5/23/2021,146
5/23/2021,1268
5/23/2021,788
5/23/2021,3172
5/23/2021,17920
5/16/2021,12547
5/23/2021,336
5/16/2021,584
5/16/2021,141
5/16/2021,29852
5/9/2021,2
5/16/2021,16307
5/9/2021,2401
5/9/2021,3537
5/9/2021,2804
5/9/2021,12614
5/9/2021,24201
5/2/2021,178
5/2/2021,498
5/2/2021,181
5/2/2021,2229
5/2/2021,7959
4/25/2021,1338
4/25/2021,6940
4/25/2021,5644
4/25/2021,3743
4/25/2021,11800
4/18/2021,14330
4/18/2021,7344
4/18/2021,132
4/18/2021,1939
4/18/2021,2021
4/11/2021,8866
4/11/2021,9611
4/11/2021,5901
4/11/2021,4975
4/11/2021,16932
4/4/2021,6955
4/4/2021,12651
4/4/2021,2998
4/4/2021,6216
4/4/2021,13467
3/28/2021,50753
3/28/2021,896
3/28/2021,1291
3/28/2021,546
3/21/2021,18075
3/21/2021,88
3/21/2021,1114
3/21/2021,217
3/21/2021,402
3/14/2021,7369
3/14/2021,4097
3/14/2021,829
3/21/2021,2
3/14/2021,750
3/14/2021,2881
3/7/2021,4637
3/7/2021,3882
